inst#,solver,actualclass,predictedclass,, error, probability distribution
51,30523628,good,good,*0.684  0.316,,
52,21591613,bad,bad,0.027 *0.973,,
53,11728976,bad,bad,0.027 *0.973,,
54,52198659,bad,bad,0.013 *0.987,,
55,71929702,bad,bad,0     *1    ,,
56,52068145,bad,good,*0.829  0.171,,
57,12926476,good,good,*0.829  0.171,,
58,50249253,good,good,*0.829  0.171,,
59,52198660,good,good,*0.829  0.171,,
60,39942441,good,good,*0.829  0.171,,
61,39942443,good,good,*0.829  0.171,,
62,44673503,good,good,*0.829  0.171,,
63,33173731,bad,good,*0.829  0.171,,
64,33998453,good,good,*0.829  0.171,,
65,19552032,good,good,*0.829  0.171,,
66,12271644,bad,good,*0.829  0.171,,
67,95279263,bad,good,*0.829  0.171,,
68,20321736,good,good,*0.829  0.171,,
69,47942866,bad,good,*0.829  0.171,,
70,47942867,bad,good,*0.829  0.171,,
71,82456576,good,good,*0.829  0.171,,
72,52421328,good,good,*0.829  0.171,,
73,52421325,good,good,*0.829  0.171,,
74,52198657,good,good,*0.829  0.171,,
75,71929702,good,good,*0.829  0.171,,
76,45869640,good,good,*0.829  0.171,,
77,20321734,good,good,*0.829  0.171,,
78,58743455,good,good,*0.829  0.171,,
79,58743453,good,good,*0.829  0.171,,
80,96590061,good,good,*0.829  0.171,,
81,20321733,good,good,*0.829  0.171,,
82,91845162,good,good,*0.829  0.171,,
83,45850725,good,good,*0.829  0.171,,
84,52198660,bad,bad,0     *1    ,,
85,39942441,good,good,*0.926  0.074,,
86,39942443,good,good,*0.926  0.074,,
87,44673503,bad,bad,0.003 *0.997,,
88,64278029,bad,bad,0     *1    ,,
89,7668974,bad,bad,0.003 *0.997,,
90,16306266,bad,bad,0.003 *0.997,,
91,59171420,bad,bad,0     *1    ,,
92,41159761,bad,bad,0.003 *0.997,,
93,75259914,bad,bad,0     *1    ,,
94,22938024,bad,bad,0     *1    ,,
95,88987917,bad,bad,0     *1    ,,
96,30523628,good,good,*0.931  0.069,,
97,94479547,bad,bad,0.008 *0.992,,
98,88304927,bad,bad,0     *1    ,,
99,52198659,bad,bad,0     *1    ,,
100,52198657,bad,bad,0     *1    ,,
101,94599137,good,good,*0.928  0.072,,
102,96689089,bad,bad,0.08  *0.92 ,,
103,45850725,bad,bad,0.003 *0.997,,
104,39942440,good,good,*0.926  0.074,,
105,39942442,good,good,*0.926  0.074,,
106,90783920,bad,bad,0     *1    ,,
107,7668975,bad,bad,0.003 *0.997,,
108,24748479,bad,bad,0     *1    ,,
109,75259914,bad,bad,0     *1    ,,
110,22938023,bad,bad,0     *1    ,,
111,52421328,bad,bad,0     *1    ,,
112,52421325,bad,bad,0     *1    ,,
113,21591614,bad,bad,0     *1    ,,
114,52198657,bad,bad,0     *1    ,,
115,94599140,good,good,*0.928  0.072,,
116,45850727,bad,bad,0.003 *0.997,,
117,72490863,bad,bad,0     *1    ,,
118,12926479,bad,bad,0     *1    ,,
119,52068148,good,bad,0.081 *0.919,,
120,44526267,bad,bad,0.081 *0.919,,
121,93485612,bad,bad,0.302 *0.698,,
122,22938021,bad,bad,0.081 *0.919,,
123,22938024,bad,bad,0.081 *0.919,,
124,30523628,good,bad,0.081 *0.919,,
125,30523625,good,bad,0.081 *0.919,,
126,52421328,bad,bad,0.081 *0.919,,
127,11728976,bad,bad,0     *1    ,,
128,21591615,bad,bad,0.081 *0.919,,
129,52198657,bad,bad,0.081 *0.919,,
130,94599137,good,good,*0.727  0.273,,
131,68908713,bad,bad,0.081 *0.919,,
132,94599140,good,bad,0.273 *0.727,,
133,45850726,bad,bad,0.081 *0.919,,
134,73388125,bad,bad,0.043 *0.957,,
135,12926478,bad,bad,0.027 *0.973,,
136,52068145,good,good,*0.771  0.229,,
137,16465898,bad,bad,0.027 *0.973,,
138,24748479,bad,bad,0.027 *0.973,,
139,75259914,bad,bad,0.043 *0.957,,
140,88987917,bad,bad,0.004 *0.996,,
141,82456576,bad,bad,0.043 *0.957,,
142,52421327,bad,bad,0.013 *0.987,,
143,52421326,bad,bad,0.013 *0.987,,
144,21591612,bad,bad,0.027 *0.973,,
145,11728976,bad,bad,0.027 *0.973,,
146,21591614,bad,bad,0.027 *0.973,,
147,52198658,bad,bad,0.013 *0.987,,
148,94599139,bad,bad,0.116 *0.884,,
149,96689089,bad,bad,0.08  *0.92 ,,
150,7481378,bad,bad,0.005 *0.995,,
151,14953989,bad,bad,0.027 *0.973,,
152,7668972,bad,bad,0.005 *0.995,,
153,7668974,bad,bad,0.005 *0.995,,
154,7668975,bad,bad,0.005 *0.995,,
155,69323954,bad,bad,0.01  *0.99 ,,
156,30523628,bad,good,*0.525  0.475,,
157,52198659,bad,bad,0.013 *0.987,,
158,81986705,bad,bad,0.043 *0.957,,
159,87479580,bad,bad,0.241 *0.759,,
160,45850725,bad,bad,0.011 *0.989,,
161,45850726,bad,bad,0.011 *0.989,,
162,28257539,bad,bad,0     *1    ,,
163,52068146,bad,bad,0.224 *0.776,,
164,47942865,bad,bad,0.224 *0.776,,
165,45869639,bad,bad,0.224 *0.776,,
166,54685154,bad,bad,0.224 *0.776,,
167,89269802,bad,bad,0.224 *0.776,,
168,44673503,bad,bad,0.224 *0.776,,
169,95762355,good,bad,0.111 *0.889,,
170,95762353,bad,bad,0.111 *0.889,,
171,32110530,bad,bad,0     *1    ,,
172,32110532,bad,bad,0     *1    ,,
173,18707297,bad,bad,0.043 *0.957,,
174,11256941,bad,bad,0.043 *0.957,,
175,42851841,bad,bad,0.224 *0.776,,
176,7668972,bad,bad,0.043 *0.957,,
177,7668974,bad,bad,0.043 *0.957,,
178,28257537,bad,bad,0     *1    ,,
179,33998453,bad,bad,0     *1    ,,
180,16306266,bad,bad,0.043 *0.957,,
181,59171420,bad,bad,0.224 *0.776,,
182,41159761,bad,bad,0.224 *0.776,,
183,19552032,bad,bad,0.043 *0.957,,
184,86142507,bad,bad,0.224 *0.776,,
185,12271644,bad,bad,0.043 *0.957,,
186,22938021,good,bad,0.043 *0.957,,
187,94479547,bad,bad,0.224 *0.776,,
188,30523627,bad,bad,0     *1    ,,
189,52421325,bad,bad,0.224 *0.776,,
190,52421327,bad,bad,0.224 *0.776,,
191,52421326,bad,bad,0.224 *0.776,,
192,21591615,bad,bad,0.043 *0.957,,
193,53621904,bad,bad,0.224 *0.776,,
194,20321735,bad,bad,0.043 *0.957,,
195,60392863,bad,bad,0.224 *0.776,,
196,12926479,bad,bad,0.002 *0.998,,
197,52068147,bad,bad,0.002 *0.998,,
198,12926476,bad,bad,0.002 *0.998,,
199,47942865,bad,bad,0.002 *0.998,,
200,99720138,bad,bad,0     *1    ,,
201,90783920,bad,bad,0.004 *0.996,,
202,16465898,bad,bad,0.002 *0.998,,
203,11256942,bad,bad,0.002 *0.998,,
204,11256943,bad,bad,0.002 *0.998,,
205,33998453,bad,bad,0.002 *0.998,,
206,41159761,bad,bad,0.002 *0.998,,
207,86142505,bad,bad,0.002 *0.998,,
208,22938023,bad,bad,0.002 *0.998,,
209,95279263,bad,bad,0.003 *0.997,,
210,88987917,bad,bad,0.004 *0.996,,
211,47942866,bad,bad,0.002 *0.998,,
212,17734818,bad,bad,0.002 *0.998,,
213,82456576,bad,bad,0.002 *0.998,,
214,21591615,bad,bad,0.002 *0.998,,
215,8788782,bad,bad,0.002 *0.998,,
216,30870722,bad,bad,0.002 *0.998,,
217,94599139,bad,bad,0.003 *0.997,,
218,20321733,bad,bad,0.002 *0.998,,
219,60392861,bad,bad,0.002 *0.998,,
220,66604316,bad,bad,0.002 *0.998,,
221,73388125,bad,bad,0.002 *0.998,,
222,87479577,bad,bad,0.02  *0.98 ,,
223,12926479,bad,bad,0.002 *0.998,,
224,56513173,bad,bad,0.002 *0.998,,
225,90783920,bad,bad,0.004 *0.996,,
226,95762354,bad,bad,0.003 *0.997,,
227,95762353,bad,bad,0.003 *0.997,,
228,95762352,bad,bad,0.003 *0.997,,
229,32110530,bad,bad,0.002 *0.998,,
230,93485612,good,good,*0.893  0.107,,
231,11256944,bad,bad,0.002 *0.998,,
232,7668972,bad,bad,0.002 *0.998,,
233,7668973,bad,bad,0.002 *0.998,,
234,7668974,bad,bad,0.002 *0.998,,
235,24748479,bad,bad,0.002 *0.998,,
236,19552035,bad,bad,0.002 *0.998,,
237,19552033,bad,bad,0.002 *0.998,,
238,20321736,bad,bad,0.002 *0.998,,
239,30523628,bad,bad,0.002 *0.998,,
240,30523626,bad,bad,0.002 *0.998,,
241,52421328,bad,bad,0.002 *0.998,,
242,44791169,bad,bad,0.002 *0.998,,
243,52421326,bad,bad,0.002 *0.998,,
244,21591615,bad,bad,0.002 *0.998,,
245,21591614,bad,bad,0.002 *0.998,,
246,8788782,bad,bad,0.002 *0.998,,
247,71929702,bad,bad,0.002 *0.998,,
248,35768768,bad,bad,0.002 *0.998,,
249,30870720,bad,bad,0.002 *0.998,,
250,28257540,bad,bad,0.002 *0.998,,
251,53621904,bad,bad,0.002 *0.998,,
252,45869640,bad,bad,0.002 *0.998,,
253,94599139,bad,bad,0.003 *0.997,,
254,68908713,bad,bad,0.002 *0.998,,
255,81986705,bad,bad,0.002 *0.998,,
256,58743453,bad,bad,0.002 *0.998,,
257,87479580,bad,bad,0.02  *0.98 ,,
258,96590063,bad,bad,0.08  *0.92 ,,
259,89269801,bad,bad,0.004 *0.996,,
260,60392863,bad,bad,0.002 *0.998,,
261,66604316,good,good,*0.652  0.348,,
262,74995666,bad,good,*0.652  0.348,,
263,73388125,bad,good,*0.652  0.348,,
264,52068148,bad,good,*0.652  0.348,,
265,52068146,bad,good,*0.652  0.348,,
266,12926477,bad,good,*0.652  0.348,,
267,50249253,good,good,*0.652  0.348,,
268,45869638,good,good,*0.652  0.348,,
269,89269802,good,good,*0.833  0.167,,
270,39942440,good,good,*0.652  0.348,,
271,95762352,bad,bad,0.211 *0.789,,
272,32110531,good,good,*0.652  0.348,,
273,7668974,bad,bad,0     *1    ,,
274,16306266,good,good,*0.652  0.348,,
275,59171420,good,good,*0.652  0.348,,
276,86142506,good,good,*0.652  0.348,,
277,86142505,good,good,*0.652  0.348,,
278,22938022,good,good,*0.652  0.348,,
279,22938021,bad,good,*0.652  0.348,,
280,69323954,bad,good,*0.652  0.348,,
281,47942866,bad,good,*0.652  0.348,,
282,88304927,bad,bad,0     *1    ,,
283,52421327,good,good,*0.652  0.348,,
284,21591612,good,good,*0.652  0.348,,
285,21591615,good,good,*0.652  0.348,,
286,52198659,good,good,*0.652  0.348,,
287,30870723,good,good,*0.652  0.348,,
288,30870722,good,good,*0.652  0.348,,
289,58743454,good,good,*0.652  0.348,,
290,81986705,bad,good,*0.652  0.348,,
291,87479580,good,good,*0.857  0.143,,
292,96689089,good,good,*1      0    ,,
293,74995666,bad,bad,0.1   *0.9  ,,
294,73388125,bad,bad,0.1   *0.9  ,,
295,52068146,bad,bad,0     *1    ,,
296,47942865,bad,bad,0.04  *0.96 ,,
297,50249253,bad,bad,0.04  *0.96 ,,
298,45869637,bad,bad,0.027 *0.973,,
299,89269803,bad,bad,0     *1    ,,
300,39942440,bad,bad,0.012 *0.988,,
301,39942442,bad,bad,0.012 *0.988,,
302,44673503,bad,bad,0.027 *0.973,,
303,95762354,bad,bad,0.037 *0.963,,
304,95762353,bad,bad,0.037 *0.963,,
305,33173731,bad,bad,0.013 *0.987,,
306,7668972,bad,bad,0.015 *0.985,,
307,86142508,bad,bad,0.1   *0.9  ,,
308,19552032,bad,bad,0     *1    ,,
309,22938023,bad,bad,0.008 *0.992,,
310,22938024,bad,bad,0.008 *0.992,,
311,69323954,bad,bad,0.1   *0.9  ,,
312,30523628,bad,bad,0     *1    ,,
313,30523627,bad,bad,0     *1    ,,
314,1788899,bad,bad,0.015 *0.985,,
315,82456576,bad,bad,0.1   *0.9  ,,
316,88304927,bad,bad,0     *1    ,,
317,44791169,bad,bad,0.027 *0.973,,
318,52198658,bad,bad,0.02  *0.98 ,,
319,30870723,bad,bad,0.013 *0.987,,
320,30870721,bad,bad,0.013 *0.987,,
321,92331214,bad,bad,0.011 *0.989,,
322,94599139,bad,bad,0.037 *0.963,,
323,58743452,bad,bad,0.2   *0.8  ,,
324,58743455,bad,bad,0.176 *0.824,,
325,96590060,bad,bad,0.08  *0.92 ,,
326,60392862,bad,bad,0.1   *0.9  ,,
327,45850725,bad,bad,0.027 *0.973,,
328,72490863,bad,bad,0.1   *0.9  ,,
329,14953989,bad,bad,0.024 *0.976,,
330,12926478,bad,bad,0.024 *0.976,,
331,52068148,bad,bad,0     *1    ,,
332,54685154,bad,bad,0.02  *0.98 ,,
333,32110529,bad,bad,0.013 *0.987,,
334,39942440,bad,bad,0.012 *0.988,,
335,95762352,bad,bad,0.037 *0.963,,
336,93485612,good,good,*0.893  0.107,,
337,11256943,bad,bad,0.024 *0.976,,
338,7668973,bad,bad,0.015 *0.985,,
339,7668974,bad,bad,0.024 *0.976,,
340,7668975,bad,bad,0.024 *0.976,,
341,86142506,bad,bad,0.1   *0.9  ,,
342,19552033,bad,bad,0     *1    ,,
343,86142507,bad,bad,0.1   *0.9  ,,
344,69323954,bad,bad,0.1   *0.9  ,,
345,34159646,bad,bad,0.013 *0.987,,
346,20321736,bad,bad,0     *1    ,,
347,30621843,bad,bad,0.013 *0.987,,
348,47942864,bad,bad,0.04  *0.96 ,,
349,30523628,bad,bad,0     *1    ,,
350,30523627,bad,bad,0     *1    ,,
351,82456576,bad,bad,0.1   *0.9  ,,
352,44791169,bad,bad,0.027 *0.973,,
353,52198658,bad,bad,0.02  *0.98 ,,
354,52198657,bad,bad,0.02  *0.98 ,,
355,94599138,bad,bad,0.037 *0.963,,
356,94599139,bad,bad,0.037 *0.963,,
357,20321734,bad,bad,0     *1    ,,
358,94599140,bad,bad,0.037 *0.963,,
359,96689089,good,bad,0.08  *0.92 ,,
360,72490863,bad,bad,0.1   *0.9  ,,
361,14953989,bad,bad,0.002 *0.998,,
362,73388125,bad,bad,0.002 *0.998,,
363,28257538,bad,bad,0.002 *0.998,,
364,45869637,bad,bad,0.002 *0.998,,
365,89269802,bad,bad,0.004 *0.996,,
366,39942440,bad,bad,0.002 *0.998,,
367,39942443,bad,bad,0.002 *0.998,,
368,28187355,bad,bad,0.002 *0.998,,
369,64278029,bad,bad,0.002 *0.998,,
370,44526267,bad,bad,0.002 *0.998,,
371,32197588,bad,bad,0.002 *0.998,,
372,95762355,bad,bad,0.003 *0.997,,
373,11256943,bad,bad,0.002 *0.998,,
374,11256941,bad,bad,0.002 *0.998,,
375,11256944,bad,bad,0.002 *0.998,,
376,7668974,bad,bad,0.002 *0.998,,
377,86142506,bad,bad,0.002 *0.998,,
378,19552032,bad,bad,0.002 *0.998,,
379,75259914,bad,bad,0.002 *0.998,,
380,88987917,bad,bad,0.004 *0.996,,
381,47942864,bad,bad,0.002 *0.998,,
382,30523625,bad,bad,0.002 *0.998,,
383,30523627,bad,bad,0.002 *0.998,,
384,52421328,bad,bad,0.002 *0.998,,
385,52198657,bad,bad,0.002 *0.998,,
386,71929702,bad,bad,0.002 *0.998,,
387,30870720,bad,bad,0.002 *0.998,,
388,94599138,bad,bad,0.003 *0.997,,
389,94599139,bad,bad,0.003 *0.997,,
390,68908713,bad,bad,0.002 *0.998,,
391,87479580,bad,bad,0.02  *0.98 ,,
392,96590060,bad,bad,0.08  *0.92 ,,
393,73388125,bad,bad,0.002 *0.998,,
394,87479577,bad,bad,0.02  *0.98 ,,
395,28257539,bad,bad,0.002 *0.998,,
396,52068146,bad,bad,0.002 *0.998,,
397,50249253,bad,bad,0.002 *0.998,,
398,45869638,bad,bad,0.002 *0.998,,
399,45869637,bad,bad,0.002 *0.998,,
400,99720138,bad,bad,0     *1    ,,
401,39942443,bad,bad,0.002 *0.998,,
402,28187355,bad,bad,0.002 *0.998,,
403,90783920,bad,bad,0.004 *0.996,,
404,53302993,bad,bad,0.002 *0.998,,
405,95762353,bad,bad,0.003 *0.997,,
406,32110530,bad,bad,0.002 *0.998,,
407,93485612,good,good,*0.893  0.107,,
408,11256941,bad,bad,0.002 *0.998,,
409,7668972,bad,bad,0.002 *0.998,,
410,7668975,bad,bad,0.002 *0.998,,
411,28257537,bad,bad,0.002 *0.998,,
412,86142508,bad,bad,0.002 *0.998,,
413,41159761,bad,bad,0.002 *0.998,,
414,19552034,bad,bad,0.002 *0.998,,
415,88987917,bad,bad,0.004 *0.996,,
416,47942864,bad,bad,0.002 *0.998,,
417,30523626,bad,bad,0.002 *0.998,,
418,88304927,bad,bad,0     *1    ,,
419,21591615,bad,bad,0.002 *0.998,,
420,52198658,bad,bad,0.002 *0.998,,
421,52198657,bad,bad,0.002 *0.998,,
422,30870723,bad,bad,0.002 *0.998,,
423,30870721,bad,bad,0.002 *0.998,,
424,28257540,bad,bad,0.002 *0.998,,
425,92331214,bad,bad,0.004 *0.996,,
426,96590060,bad,bad,0.08  *0.92 ,,
427,60392862,bad,bad,0.002 *0.998,,
428,60392863,bad,bad,0.002 *0.998,,
429,60392861,bad,bad,0.002 *0.998,,
430,45850728,bad,bad,0.002 *0.998,,
431,72490863,bad,bad,0.002 *0.998,,
432,7481378,bad,bad,0.002 *0.998,,
433,14953989,bad,bad,0.002 *0.998,,
434,12926476,bad,bad,0.002 *0.998,,
435,56513173,bad,bad,0.002 *0.998,,
436,32110529,bad,bad,0.002 *0.998,,
437,39942441,bad,bad,0.002 *0.998,,
438,39942443,bad,bad,0.002 *0.998,,
439,28187355,bad,bad,0.002 *0.998,,
440,95762354,bad,bad,0.003 *0.997,,
441,93485612,good,good,*0.893  0.107,,
442,11256944,bad,bad,0.002 *0.998,,
443,7668973,bad,bad,0.002 *0.998,,
444,86142508,bad,bad,0.002 *0.998,,
445,22938022,bad,bad,0.002 *0.998,,
446,22938023,bad,bad,0.002 *0.998,,
447,20321736,bad,bad,0.002 *0.998,,
448,30523628,bad,bad,0.002 *0.998,,
449,94479547,bad,bad,0.003 *0.997,,
450,30523626,bad,bad,0.002 *0.998,,
451,17734818,bad,bad,0.002 *0.998,,
452,52421328,bad,bad,0.002 *0.998,,
453,44791169,bad,bad,0.002 *0.998,,
454,21591613,bad,bad,0.002 *0.998,,
455,11728976,bad,bad,0.002 *0.998,,
456,8788782,bad,bad,0.002 *0.998,,
457,52198657,bad,bad,0.002 *0.998,,
458,35768768,bad,bad,0.002 *0.998,,
459,30870720,bad,bad,0.002 *0.998,,
460,20321734,bad,bad,0.002 *0.998,,
461,20321735,bad,bad,0.002 *0.998,,
462,68908713,bad,bad,0.002 *0.998,,
463,58743454,bad,bad,0.002 *0.998,,
464,58743455,bad,bad,0.002 *0.998,,
465,58743453,bad,bad,0.002 *0.998,,
466,96590063,bad,bad,0.08  *0.92 ,,
467,20321733,bad,bad,0.002 *0.998,,
468,96689089,bad,bad,0.08  *0.92 ,,
469,91845162,bad,bad,0.004 *0.996,,
470,60392860,bad,bad,0.002 *0.998,,
471,87479578,bad,bad,0.02  *0.98 ,,
472,87479577,bad,bad,0.02  *0.98 ,,
473,52068145,bad,bad,0.002 *0.998,,
474,89269802,bad,bad,0.004 *0.996,,
475,39942440,bad,bad,0.002 *0.998,,
476,90783920,bad,bad,0.004 *0.996,,
477,33173731,bad,bad,0.002 *0.998,,
478,11256944,bad,bad,0.002 *0.998,,
479,12271644,bad,bad,0.002 *0.998,,
480,69323954,bad,bad,0.002 *0.998,,
481,88987917,bad,bad,0.004 *0.996,,
482,47942864,bad,bad,0.002 *0.998,,
483,47942866,bad,bad,0.002 *0.998,,
484,30523625,bad,bad,0.002 *0.998,,
485,52421328,bad,bad,0.002 *0.998,,
486,21591612,bad,bad,0.002 *0.998,,
487,11728976,bad,bad,0.002 *0.998,,
488,96590062,bad,bad,0.08  *0.92 ,,
489,52198657,bad,bad,0.002 *0.998,,
490,71929702,bad,bad,0.002 *0.998,,
491,30870722,bad,bad,0.002 *0.998,,
492,94599138,bad,bad,0.003 *0.997,,
493,68908713,bad,bad,0.002 *0.998,,
494,58743455,bad,bad,0.002 *0.998,,
495,96590063,bad,bad,0.08  *0.92 ,,
496,60392860,bad,bad,0.002 *0.998,,
497,73388125,bad,bad,0.002 *0.998,,
498,52068147,bad,bad,0.002 *0.998,,
499,12926477,bad,bad,0.002 *0.998,,
500,12926476,bad,bad,0.002 *0.998,,
501,47942865,bad,bad,0.002 *0.998,,
502,45869638,bad,bad,0.002 *0.998,,
503,39942441,bad,bad,0.002 *0.998,,
504,32110532,bad,bad,0.002 *0.998,,
505,11256943,bad,bad,0.002 *0.998,,
506,7668973,bad,bad,0.002 *0.998,,
507,7668974,bad,bad,0.002 *0.998,,
508,12321508,bad,bad,0.002 *0.998,,
509,41159761,bad,bad,0.002 *0.998,,
510,86142506,bad,bad,0.002 *0.998,,
511,12271644,bad,bad,0.002 *0.998,,
512,86142505,bad,bad,0.002 *0.998,,
513,47942864,bad,bad,0.002 *0.998,,
514,30523628,bad,bad,0.002 *0.998,,
515,17734818,bad,bad,0.002 *0.998,,
516,62245245,bad,bad,0.002 *0.998,,
517,44791169,bad,bad,0.002 *0.998,,
518,21591614,bad,bad,0.002 *0.998,,
519,30870723,bad,bad,0.002 *0.998,,
520,30870722,bad,bad,0.002 *0.998,,
521,45869640,bad,bad,0.002 *0.998,,
522,94599140,bad,bad,0.003 *0.997,,
523,60392862,bad,bad,0.002 *0.998,,
524,87479578,bad,bad,0.02  *0.98 ,,
525,7481378,bad,bad,0.002 *0.998,,
526,44673503,bad,bad,0.002 *0.998,,
527,90783920,bad,bad,0.004 *0.996,,
528,53302993,bad,bad,0.002 *0.998,,
529,32197588,bad,bad,0.002 *0.998,,
530,87217530,bad,bad,0.002 *0.998,,
531,95762354,bad,bad,0.003 *0.997,,
532,7668972,bad,bad,0.002 *0.998,,
533,88436999,bad,bad,0.004 *0.996,,
534,16306266,bad,bad,0.002 *0.998,,
535,59171420,bad,bad,0.002 *0.998,,
536,86142508,bad,bad,0.002 *0.998,,
537,19552033,bad,bad,0.002 *0.998,,
538,86142507,bad,bad,0.002 *0.998,,
539,86142505,bad,bad,0.002 *0.998,,
540,94479547,bad,bad,0.003 *0.997,,
541,30523627,bad,bad,0.002 *0.998,,
542,82456576,bad,bad,0.002 *0.998,,
543,52421327,bad,bad,0.002 *0.998,,
544,21591613,bad,bad,0.002 *0.998,,
545,96590062,bad,bad,0.08  *0.92 ,,
546,52198659,bad,bad,0.002 *0.998,,
547,71929702,bad,bad,0.002 *0.998,,
548,35768768,bad,bad,0.002 *0.998,,
549,30870722,bad,bad,0.002 *0.998,,
550,94599138,bad,bad,0.003 *0.997,,
551,58743452,bad,bad,0.002 *0.998,,
552,66604316,bad,bad,0.002 *0.998,,
553,87479577,bad,good,*1      0    ,,
554,12926477,bad,bad,0.002 *0.998,,
555,12926476,bad,bad,0.002 *0.998,,
556,47942865,bad,bad,0.002 *0.998,,
557,50249253,bad,bad,0.002 *0.998,,
558,45869637,bad,bad,0.002 *0.998,,
559,89269802,bad,bad,0.004 *0.996,,
560,90783920,bad,bad,0.004 *0.996,,
561,32110532,bad,bad,0.002 *0.998,,
562,16465898,bad,bad,0.002 *0.998,,
563,11256943,bad,bad,0.002 *0.998,,
564,7668972,bad,bad,0.002 *0.998,,
565,28257537,bad,bad,0.002 *0.998,,
566,16306266,bad,bad,0.002 *0.998,,
567,86142506,bad,bad,0.002 *0.998,,
568,19552034,bad,bad,0.002 *0.998,,
569,86142505,bad,bad,0.002 *0.998,,
570,21591615,bad,bad,0.002 *0.998,,
571,53621904,bad,bad,0.002 *0.998,,
572,20321734,bad,bad,0.002 *0.998,,
573,81986705,bad,bad,0.002 *0.998,,
574,58743453,bad,bad,0.002 *0.998,,
575,96590061,bad,bad,0.08  *0.92 ,,
576,96590063,bad,bad,0.08  *0.92 ,,
577,89269801,bad,bad,0.004 *0.996,,
578,60392860,bad,bad,0.002 *0.998,,
579,45850727,bad,bad,0.002 *0.998,,
580,73388125,bad,bad,0     *1    ,,
581,87479577,good,good,*0.93   0.07 ,,
582,87479579,good,good,*0.93   0.07 ,,
583,52198660,bad,bad,0     *1    ,,
584,28187355,bad,bad,0     *1    ,,
585,32197588,bad,bad,0     *1    ,,
586,87217530,bad,bad,0     *1    ,,
587,18707297,bad,bad,0.003 *0.997,,
588,16306266,bad,bad,0.003 *0.997,,
589,30523626,bad,good,*0.931  0.069,,
590,82456576,bad,bad,0     *1    ,,
591,52421328,bad,bad,0     *1    ,,
592,21591613,bad,bad,0     *1    ,,
593,68908713,bad,bad,0     *1    ,,
594,45850726,bad,bad,0.003 *0.997,,
595,74995666,bad,bad,0.043 *0.957,,
596,7481378,bad,bad,0.005 *0.995,,
597,52068147,bad,bad,0.038 *0.962,,
598,12926477,bad,bad,0.027 *0.973,,
599,12926476,bad,bad,0.027 *0.973,,
600,45869639,bad,bad,0.011 *0.989,,
601,45869638,bad,bad,0.011 *0.989,,
602,56513173,bad,bad,0.013 *0.987,,
603,99720138,good,good,*0.765  0.235,,
604,44526267,bad,bad,0.011 *0.989,,
605,95762355,good,good,*0.68   0.32 ,,
606,16465898,bad,bad,0.027 *0.973,,
607,11256942,bad,bad,0.027 *0.973,,
608,11256943,bad,bad,0.027 *0.973,,
609,11256944,bad,bad,0.027 *0.973,,
610,7668975,bad,bad,0.005 *0.995,,
611,86142508,bad,bad,0.043 *0.957,,
612,19552033,bad,bad,0.027 *0.973,,
613,22938021,good,bad,0.027 *0.973,,
614,22938024,good,bad,0.027 *0.973,,
